real	0m23,202s
real	0m9,418s
real	0m13,367s
real	0m9,779s
real	0m9,373s
real	0m6,900s
real	0m11,723s
real	0m8,747s
real	0m20,670s
real	0m9,789s
real	0m17,260s
real	0m22,242s
real	0m36,488s
real	0m32,745s
real	0m28,053s
real	0m37,664s
real	0m20,297s
real	0m24,760s
real	0m26,940s
real	0m34,243s
real	0m24,442s
real	0m33,834s
real	0m36,022s
real	0m22,750s
real	0m21,523s
real	0m25,735s
real	0m28,694s
real	0m32,281s
real	0m25,964s
real	0m37,263s
real	0m27,234s
real	0m25,943s
real	0m36,078s
real	0m40,987s
real	0m34,693s
real	0m26,823s
real	0m36,722s
real	0m27,202s
real	0m37,781s
real	0m35,746s
real	0m37,465s
real	0m34,842s
real	0m36,219s
real	0m27,038s
real	0m27,237s
real	0m34,219s
real	0m34,241s
real	0m32,728s
real	0m34,268s
real	0m28,739s
real	0m24,932s
real	0m21,299s
real	0m38,777s
real	0m38,268s
real	0m35,672s
real	0m36,529s
real	0m32,001s
real	0m27,699s
real	0m23,117s
real	0m27,962s
real	0m29,690s
real	0m16,493s
real	0m35,535s
real	0m23,952s
real	0m24,297s
real	0m22,932s
real	0m36,341s
real	0m30,726s
real	0m34,477s
real	0m21,206s
real	0m26,279s
real	0m26,209s
real	0m26,836s
real	0m26,410s
real	0m26,854s
real	0m30,920s
real	0m25,740s
real	0m24,585s
real	0m24,404s
real	0m2,061s
real	0m28,436s
real	0m28,048s
real	0m37,521s
real	0m25,523s
real	0m28,990s
real	0m29,746s
real	0m32,429s
real	0m27,250s
real	0m30,082s
real	0m1,952s
real	0m29,750s
real	0m28,540s
real	0m37,142s
real	0m33,297s
real	0m38,187s
real	0m23,605s
real	0m34,472s
real	0m21,310s
real	0m21,437s
real	0m13,669s
